duration,data,subjectcode,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w,x,y,z,za,zb,zc,zd,ze,zf,zg,zh,age,gender,race,ethnicity,education,comments
412,7/2/19 11:00,R_1GwwUh78vsorTJx,,,,,,,,,,,,,,,,,,Mary would like to fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,then there would be no more water in the lake for the fish.,0,0,0,,"not really fair, if everyone did that then there wouldn't be water left for the fish",there would still be plenty of rocks left on the path,then there would be no more rocks left on the path.,take a rock for his collection,0,0,0,,on the off chance that more would want that also and could take all the rocks,32,2,5,2,3,no
423,7/2/19 11:00,R_3qR5KOTtDJP4oYH,,,,,,,,,,,,,,,,,,Pour water from the lake over her toy castle. ,1,There would be plenty of water left for fish. ,There'd be no water for the fish. ,0,0,0,,Because if could be harmful to the fish. ,There would still be plenty of rocks left on the path. ,There would be no more rocks left on the path. ,Take a rock from the path. ,0,0,0,,"Because if it's OK for him to do it, it should be OK for everyone to do it.  But if everyone did it, there'd be no rocks left at all. ",35,1,5,2,3,No
694,7/2/19 11:01,R_3R9xr8kvOcRPSGB,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle,1,There would still be enough water for the fish and the fish could still swim,The fish wouldn’t have any water and would probably die,1,1,0,,Because other kids will have the opportunity be be in Mary’s situation to take water from the lake when no one else is around and if everyone takes water when no one else is looking the fish will die.,There would still be enough rocks on the path,There would be no more rocks on the path,Take a rock from the path,0,0,1,"Why not? No one else wants the rocks and it’s not like the fish are going to die or something. So, go ahead and take it.",,37,1,3,,3,No. It was interesting
699,7/2/19 11:01,R_tG2HXmpzLv6Sq3L,nothing,it returns by and by,wet her castle,0,0,1,it does no harm ,,take rocks from path,1,"not much, no harm","not much, this earth has a lot of rock",0,0,1,I dont believe the scenario suggested that rocks could all be gone ....,,,,,,,,,,,,,,,,,,,59,2,5,1,2,"the factoid of these resources disappearing, it does not seem accurate to me"
819,7/2/19 11:01,R_2aWiNr1RnforkYl,there would be water left for the fish,there would be no more water for the fish,take water from the lake,0,0,1,because when u pour it over the castles at the side of the lake the water will eventually seep back to the lake,,Take a rock and put it in his collection,1,there would be rocks left,there would be no rocks left on the path,0,0,0,,sets a bad example for the other children,,,,,,,,,,,,,,,,,,51,2,6,2,3,no
169,7/2/19 11:02,R_3kHaE0FsPvgA2ne,,,,,,,,,,,,,,,,,,Fill a bucket with lake water and pour it on her toy castle.,1,There will be plenty of water left.,There will be no more water for the fish.,0,0,1,Because if just Mary does it there will still be plenty of water left.,,There would still be plenty of rocks on the path.,There would be no more rocks on the path.,Take rocks from the path.,0,0,1,It's only one rock and there are plenty more.,,21,2,5,2,2,no!
262,7/2/19 11:02,R_pKJKrA2rUdIn1Pr,,,,,,,,,,,,,,,,,, to fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish.,0,0,1,there will still be enough water for the fish,, there would still be plenty of rocks left on the path,there would be no more rocks left on the path.,take rocks from the path. ,0,0,1,There will still be rocks,,33,1,5,2,3,no
354,7/2/19 11:02,R_1r0M5OgP5A5nYOh,,,,,,,,,,,,,,,,,,Fill a bucket with water form the lake and pour it on her toy castle.,1,still be plenty of water left ,be no more water in the lake,0,0,0,,because the kids want to keep the water in the lake.,there would still be plenty of rocks.,there would be no more rocks left,take rocks from the path.,0,0,1,Because there are more rocks on the path.,,37,1,3,2,3,none.
169,7/2/19 11:02,R_3OvJ6KPi0f3WwXn,there would be enough for the fish,there wouldn't be enough for the fish,poor water on her castle,0,0,1,it isn't hurting the fish,,take a rock from the path and put it in his collection,1,there would still be plenty of rocks left on the path,then there would be no more rocks left on the path. ,0,0,1,there is still plenty of rocks on the path,,,,,,,,,,,,,,,,,,,23,1,5,2,1,
222,7/2/19 11:03,R_22DNZOrCl9SZTSy,,,,,,,,,,,,,,,,,,Fill her bucket with water and pour it on her toy castle.,1,There would still be plenty of water left for the fish,All the water would be gone,0,0,0,,No one want's to reduce the water of the lake,The path would be fine,No rocks will remain on the path,Take rock's from the path,0,0,0,,Because no one is taking rock's from the path,32,1,2,2,2,Not at all
492,7/2/19 11:03,R_12bYnrPyD3Crtsr,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,Take water from the lake.,0,0,1,"Mary wants to take the water so she should, since no one else wants water from the lake it wouldn't matter either way if she was seen or not seen, so she should just get the water.",,Take a rock from the path and put it in his rock collection.,1,There would still be plenty of rocks left on the path.,There would be no rocks left on the path.,0,0,1,If Jacob wants a rock he should take the rock. Since the others will not feel like they deserve a rock too since Jacob took one then the path will still have rocks.,,,,,,,,,,,,,,,,,,,37,1,5,2,1,no
293,7/2/19 11:03,R_1Lo3eo4BqaSFz1p,,,,,,,,,,,,,,,,,,She wants to fill a bucket with water and pour it on her toy castle.,1,There will be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,1,Because if one person takes water from the lake there would still be water for the fish.,,There would be plenty of rocks left on the path.,There would be no more rocks left on the path.,Jacob wants to take rocks from the path.,0,0,1,Because if only one person takes rocks then there will be plenty of rocks left.,,24,1,3,2,1,No
592,7/2/19 11:03,R_1KltR1dJtsvZVRI,here will still be plenty of water left for the fish,more water in the lake for the fish,ake water from the lake,0,0,1,Because she can,,take one of the rocks from the path and put it in his rock collection ,1,here would still be plenty of rocks left on the path,then there would be no more rocks left on the path,0,0,1,It is just one ,,,,,,,,,,,,,,,,,,,42,2,5,2,2,
266,7/2/19 11:03,R_1ONNzcEYkvxTvtZ,There will be plenty of water left for the fish. ,There would be no more water left in the lake for the fish. ,Mary wants water on her castle. ,0,0,1,No one will see her do it. ,,He wants to put rocks into his rock collection.,1,There would be plenty of rocks left on the path.,There would be no more rocks left on the path.,0,0,1,"Yes, I think it would be okay.",,,,,,,,,,,,,,,,,,,31,2,5,2,3,None
242,7/2/19 11:03,R_RDnHFRGQj0iPrrz,Nothing really happens,The lake will be empty of water,Take water from the lake,0,0,1,"Since she is the only one who uses water, its okay as there is enough water for the fish in the lake",,Take a rock from the path for his rock collection,1,Nothing,Rocks will be gone from the path,0,0,0,,Since its not fair for just one to take it when everyone wants one.,,,,,,,,,,,,,,,,,,21,1,2,2,2,
128,7/2/19 11:04,R_1PZSzH0Wl2DMcgC,,,,,,,,,,,,,,,,,,Fill a bucket of water and pour it on her toy castle,1,There would be water for the fish,There would not be water for the fish,0,0,0,,Because it was agreed that they would never take water from the lake,There would be rocks,There wouldn't be rocks,Take rocks from the path,0,0,0,,Because the others don't,28,1,5,2,2,
843,7/2/19 11:04,R_bQpQSoga2rTdsAh,There will be plenty of water  in the lake left for the fish.,There would be no more water in the lake left for the fish.,Mary wants to fill a bucket with water from the lake and pour it on her toy castle.,0,0,1,Because there will still be plenty of water left for the fish.,,Take a rock from the path and put it in his rock collection.,1,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,0,0,1,Because there would still be plenty of rocks left on the path.,,,,,,,,,,,,,,,,,,,74,2,5,2,2,Not at all.
286,7/2/19 11:04,R_XmR22zbKe4iJQZj,,,,,,,,,,,,,,,,,,CANDLES,1,BOATING,BOATING,1,1,1,"YES, OK",,HEALING CVRYSTAL,RETRO ROCK COLLECTION,YES,1,1,1,"YES, OK",,26,1,1,1,1,UNCLEAR
241,7/2/19 11:04,R_2U4rwuDgmd40iaV,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,0,,"Because everyone else wants to do it, but is refraining, because doing so would harm the fish.  It would be a selfish act that would damage a habitat if everyone did it.",There would still be plenty of rocks on the path.,There would be no more rocks left on the path.,Take a rock from the path for his rock collection.,0,0,1,"Because it won't hurt the path or anyone else.  It's just a rock path, and taking a rock from a path isn't a bad thing, unless it specifically prohibited.",,39,1,5,2,1,nope
268,7/2/19 11:05,R_3JF6SOI8KSCyBYj,,,,,,,,,,,,,,,,,,Fill a bucket with lake water and pour it on her toy castle,1,Plenty of water left for the fish,No more water left for the fish,0,0,0,,The fish are living beings that need to be protected. If she does it then she is contributing to harming them so she should not.,There would be plenty of rocks left on the path.,There would be no more rocks on the path,Take a rock from the path for his collection,0,0,1,It is not hurting anyone to take a rock and it is more valuable to him than others and he will be happier for it.,,31,2,3,2,2,No
878,7/2/19 11:05,R_3hooG5zk1PDlTV6,There will be plenty of water left. ,There will be no more water for the fish ,take water from the lake,0,0,0,,Because shes doing it without people watching and only once. ,Grab a rock and put it in his rock collection. ,1,there will be plenty of rocks left,there wont be any rocks left,0,0,0,,Because no one else will take one and it will be unfair to others. ,,,,,,,,,,,,,,,,,,27,2,5,2,3,
220,7/2/19 11:05,R_1LSa2ShTqtGgdqd,There will still be plenty of water for the fish. ,There would be no more water for the fish. ,Take water from the lake for her castle. ,0,0,1,No one else wants to take the water so one person taking water won't harm the fish. ,,Jacob wants to take a rock from the path for his collection. ,1,There would still be plenty of rocks on the path. ,There would be no more rocks left on the path.,0,0,0,,Integrity- Jacob should do the right thing even when no one is looking. ,,,,,,,,,,,,,,,,,,25,2,5,2,2,Nothing was unclear. 
376,7/2/19 11:06,R_t01JTbKM3Q8IgEh,There would still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,Take water from the lake for her castle,0,0,1,"Because if Mary is the only one to take water from the lake, there will still be enough for the fish. ",,Take a rock from the path and put it in his rock collection,1,There would still be plenty of rocks left on the path,There would be no more rocks left on the path,0,0,1,"I don't think Jacob has many options for getting rocks into his collection, and this is a good way to add to his collection. Also, if he is the only one to take a rock, there will still be rocks left on the path.",,,,,,,,,,,,,,,,,,,43,2,5,2,3,No
869,7/2/19 11:06,R_ST7dsONXjYcaHap,Nothing would happen,there would be no water left,to put water on her castle,,0,0,,"Then there will be no water left. (Also i meant to click on no, for if the other kids wanted to do this, not sure how it went forward without me clicking on it, sorry for the confusion)",Take a rock to add to his collection,1,there would be plenty of rocks,there would be none left,0,0,0,,If everyone had that mindset there would be no rocks left,,,,,,,,,,,,,,,,,,32,2,5,1,3,
689,7/2/19 11:07,R_3EygiPagwGlNy6T,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle.,1,There would be plenty,there would be no more in the lake for the fish,0,0,1,it wont hurt anything,,It wouldn't be a big deal.,There would be no rocks.,Take rocks from the path.,0,0,1,"Yes, no one will see and its just one rock.",,21,2,5,2,2,
170,7/2/19 11:07,R_1PTZh6rlesrqofD,,,,,,,,,,,,,,,,,,fill a bucket with water and pour it on the castle.,1,plenty of water left for fish,no more water for fish,0,0,1,It won't make a big impact if she does.,,still be plenty of rocks,there would be no more rocks,jacob wants to take rocks from the path,0,1,1,Nobody else even wants them.,,29,1,5,2,2,not that I saw
259,7/2/19 11:07,R_248VXlJh682wJds,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her castle.,1,There would still be plenty of water in the lake.,There would not be enough water for the fish.,0,0,0,,"Because if everyone thinks this, then there won't be enough water left.",There would be plenty of rocks left.,There would be no more rocks left on the path.,Take a rock from the path.,0,0,1,Because he only is taking one and no one else takes them. He actually likes them.,,28,1,5,2,3,No.
162,7/2/19 11:07,R_UVCiq72LXyqpKo1,There would be plenty of water for the fish.,There would be no water for the fish.,Take water from the lake.,0,0,1,Because there would still be plenty of water left for the fish.,,Take rocks for his collection.,1,There would be plenty of rocks left.,There would be no rocks.,0,0,0,,Because he would be breaking the compact he has with his friends to maintain the rocks.,,,,,,,,,,,,,,,,,,32,1,5,2,1,No!
125,7/2/19 11:08,R_OHztNeQru58ecMx,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle.,1,there will still be plenty of water left for the fish.,there would be no more water in the lake for the fish.,0,0,0,,"All of the kids decided not to do it, and it seems Mary is only doing it because no one will see her",there would still be plenty of rocks left on the path.,then there would be no more rocks left on the path.,take a rock from the path.,0,1,1,"There isn't a lot of people who want to do it, and therefore less risk",,28,1,5,2,3,
764,7/2/19 11:08,R_231OCX7n216dofY,there will be plenty of water left for the fish.,there will be no more water left for the fish.,Mary wants to take water from lake.,0,1,1,"Mary wants to take water for her needs, so is it ok.",,Jacob wants to collection of rock.,1,plenty of rocks left on the path.,no more rocks left on the path.,0,1,1,the path has not difficulty to walk without rock so is it ok.,,,,,,,,,,,,,,,,,,,51,2,5,2,4,nothing
1040,7/2/19 11:08,R_232xT3pwWc2pGPv,There would still be water left for the dish. ,There would be no water left for the fish. ,Mary wants to take water from the lake. ,0,0,0,,Because it will reduce the water in the lake. ,Jacob wants to take one of the rocks from the park path and add to his rock collection.,1,There would still be plenty of rocks left on the part.,There would be no more rocks left on the path. ,0,0,1,Because it's no wrong to take the rocks on the part. ,,,,,,,,,,,,,,,,,,,38,1,5,2,4,
609,7/2/19 11:08,R_30poatZC6sfmjv8,there would be plenty of water for the fish,there would be no more water for the fish.,water on her castle,0,0,1,It wont affect the fish,,take a rock from the path and put it on his rock collection.,1,there would be plenty of rocks left,there would be no more rocks in the path.,0,0,0,,he's cheating.,,,,,,,,,,,,,,,,,,23,1,5,2,1,
282,7/2/19 11:09,R_3kHyD21uCnegj6b,There would still be plenty of water left for the fish. ,There would be no more water in the lake for the fish.,Take water from the lake,0,0,1,Because she's only one person taking water from the lake.,,Take one of the rocks from the path and keep it.,1,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path. ,0,0,1,Because it's just one rock.,,,,,,,,,,,,,,,,,,,23,2,5,2,2,No
423,7/2/19 11:10,R_3Nx2Rwmg1MDuKf4,There will still be plenty of water left for the fish,There would be no more water in the lake for the fish.,Put water on her castle.,0,0,1,One person won't drain the lake.,,Take walks through a rock path in the park and collect rocks.,1,There would still be plenty of rocks left on the path.,There would be no rocks left.,0,0,1,There would still be plenty of rocks on the path.,,,,,,,,,,,,,,,,,,,26,1,6,2,3,No
454,7/2/19 11:10,R_2P064DLQFISK33A,,,,,,,,,,,,,,,,,,Mary want to fill a bucket with water from lake and pour it on her toy castle,1,Everything will be ok,Take water from the fish,0,0,0,,Because people will see her and do and kill all the fish,Plenty of rocks left,No more rocks left,Take the rocks,0,0,0,,People will see him do it and be upset,25,2,2,2,4,No
276,7/2/19 11:11,R_0iD6kXezkA0B3Db,,,,,,,,,,,,,,,,,,Take water from the lake and pour it on her toy castle.,1,Plenty of water left.,No water left over.,0,0,0,,It will deplete the lake if people take from it.,Plenty of rocks left.,No more rocks left on the path.,Take a rock for his collection.,0,0,0,,It would deplete the rocks if people take them.,39,2,6,1,2,No.
273,7/2/19 11:11,R_2oF52vBqUgz5Fjr,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,She wants water on her castle.,0,0,1,Because the fish will still have enough water to live.,,He wants to take one of the rocks from the path and put it in his rock collection.,1,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,0,0,1,Because there will still be enough rocks on the path.,,,,,,,,,,,,,,,,,,,23,1,5,2,3,
879,7/2/19 11:11,R_1EXtifJFyIecmtH,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish, take water from the lake for her castle ,0,0,1,The fish would still have water to swim in ,,take one of the rocks from the path and put it in his rock collection,1, there would still be plenty of rocks left on the path,there would be no more rocks left on the path,0,0,0,,Everyone else won't be able to take one ,,,,,,,,,,,,,,,,,,31,1,5,2,2,No
495,7/2/19 11:12,R_3hyX1Ipukz7oDwv,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle. ,1,There would still be plenty of water left for the fish.,There would be no more water in the lake for the fish. ,0,0,0,,"I feel like this time it is different than the other scenario and it's not okay, because there was more at stake in this situation. The fish need the water to survive. If there were multiple people like Mary who wanted to fill their bucket and pour it on their castle with no one knowing, there would be very little water remaining and fish could die. I think it is not okay. ",There would still be plenty of rocks left on the path. ,There would be no more rocks left on the path. ,Take rocks from the path. ,0,0,1,"I think it's okay because no one else want to take rocks from the path, so there will be plenty more rocks left if Jacob takes one for his rock collection.",,31,1,3,1,2,no
130,7/2/19 11:14,R_211HYoLKyyjpwv0,,,,,,,,,,,,,,,,,,pour water on her castle,1,water left,no water left,0,0,1,there will be water left,,Lots left,none left,take rocks,0,0,1,there will be a lot left,,28,1,5,2,4,
674,7/2/19 11:14,R_RV7N3UmlVf58f97,There will still be water.,There would be no more water,Take water from the lake,0,0,1,It's an entire lake vs a single bucket.,,Add to his rock collection,1,There will still be rocks along the path,There will be no rocks left. ,0,0,1,It's just a single rock and I don't see the harm in it.,,,,,,,,,,,,,,,,,,,36,1,5,2,1,
216,7/2/19 11:15,R_3lWY8TEGzKIm5oy,There would be enough water for the fish,ther would be no more lake,Take water to make her castle wet,0,0,1,because its just her and no one else is hitting the lake to steal the water so it should be fine. A childs happy memory is worth one bucket of water for her sand castle.,,add a rock to his collection,1,ther would be lots of rocks left,there would ne none left on the path,0,0,1,because no one else takes from the rocks so one rock won't be missed or noticed,,,,,,,,,,,,,,,,,,,34,1,5,1,3,i don't think so
1650,7/2/19 11:16,R_RODaa0oPszTxMxr,,,,,,,,,,,,,,,,,,Mary wants to fill a bucket with water from the lake and pour it on her toy castle.,1,"There would be enought water left for all the fish, so all would be well.",There would be no lake.,0,0,1,"It's just one bucket of water. As long as she is discreet and doeasn't get caught, it's no big deal.",,"There would still be plenty of rocks left on the path, so no big deal.","If everyone took a rock, then there would be no more rocks left on the path.",Take a rock for his collection.,0,0,1,It's just one rock. It won't hurt anything. ,,49,1,5,2,2,No
177,7/2/19 11:17,R_2SH1TiI09uMmoJF,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle.,1,There will still be plenty of water left for the fish.,There would be no more water in the lake for the fish.,0,0,1,It's only Mary doing it.,,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take rocks from the path.,0,0,1,No one else wants to take rocks from the path.,,30,2,5,2,2,
453,7/2/19 11:18,R_DAb8kXpOwMaFPtT,there will still be plenty of water left , there would be no more water in the lake for the fish.,water her castle,0,0,0,,because everyone else will do it also,take one of the rocks from the path and put it in his rock collection,1,there would still be plenty of rocks left on the path, there would be no more rocks left on the path,0,0,0,,because soon everyone would take one and there would be none left,,,,,,,,,,,,,,,,,,49,1,5,2,2,
135,7/2/19 11:18,R_1Q3ZpDPhs53zGNs,,,,,,,,,,,,,,,,,,Fill a bucket with water from a lake and pour it into the toy castle.,1,There would be water left for the fish.,There would be no water left for the fish.,0,0,0,,"Because people should not take water from the lake, as the supply is limited.",There would be plenty of rocks left.,There would be no rocks left.,Take some rocks.,0,0,0,,He should leave the rocks for the path.,24,2,5,2,3,
338,7/2/19 11:20,R_0qAx9wtO1Ho5ELD,There would be plenty of water.,There would be no water left.,Put water on her castle.,0,0,1,Because others aren't doing it as well.,,Take rocks for his collection.,1,There would be rocks left.,There would be no more rocks left.,0,0,0,,Just because no one sees you doesn't make it any less wrong.,,,,,,,,,,,,,,,,,,37,1,5,2,1,No. There's too much writing though. 
414,7/2/19 11:20,R_saGwKdtXz4BJfix,,,,,,,,,,,,,,,,,,Fill a bucket with water from the lake and pour it on her toy castle. ,1,There will still be plenty of water left for the fish.  ,There would be no more water in the lake for the fish.,0,0,1,Because if only one person took from the lake it wont really there would still be water for the fishes.,,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,Take rocks from the path. ,0,0,1,Because if only one person takes a rock from the path it won't really affect it as much as if multiple people did.,,24,1,6,1,3,
244,7/2/19 11:21,R_279lAkSVAE2m8Y2,,,,,,,,,,,,,,,,,,She wants to fill a bucket with water from the lake and pour it on her toy castle.,1,There would be plenty of water left for the fish,There would be no more water left for the fish,0,0,1,"She is only going to do it once, and it's only her taking water from the lake. Also, I'm pretty sure the water will just go back into the lake over time.",,There would still be plenty of rocks left on the path,There would be no more rocks left on the path,Take rocks from the path for his rock collection,0,0,1,"He is the only one who wants to take a rock, none of the other kids are interested, so it will only be one rock.",,27,2,5,2,2,Nope
1984,7/2/19 11:23,R_1hLO6aNG91RCnWj,,,,,,,,,,,,,,,,,,pour water on sand castle ,1,still be water for fish ,no water left for fish,0,1,0,,fish need water ,he would have one less rock,he would have no rocks,take the rocks,0,0,0,,because it's there for a reason,26,1,5,1,2,non3
200,7/2/19 11:24,R_1kRNXWmVMqgjJmA,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,Pour water on her castle,0,0,1,There will still be water for the fish,,take one of the rocks from the path and put it in his rock collection,1,there would still be plenty of rocks left on the path,there would be no more rocks left on the path,0,0,1,There will still be plenty of rocks and no one else is taking one,,,,,,,,,,,,,,,,,,,33,2,5,2,3,No
214,7/2/19 11:25,R_1k0vwohdxOaAT0x,There would still be plenty of water for the fish.,There would no longer be enough water for the fish.,She would like her castle to be wet.,0,0,1,"She is the only one who wants to do this, so no fish will be harmed.",,He would like to take a rock from the path for his personal collection.,1,There would still be plenty of rocks on the path.,It would deplete the path of rocks.,0,0,0,,It's unfair to everyone else who would like a rock but doesn't take one.,,,,,,,,,,,,,,,,,,49,2,5,2,3,No.
214,7/2/19 11:33,R_QfXpvEzKqZTa5hL,,,,,,,,,,,,,,,,,,pour water from bucket on her castle,1,wouldnt notice,there still would be plenty of water,0,0,1,there would be plenty of water left,,not much,there would be less and less rocks,take one rock,0,0,1,there are probably plenty of rocks,,48,2,5,2,2,no
236,7/2/19 11:39,R_putURmatLa4RthT,,,,,,,,,,,,,,,,,,Fill a bucket with water to pour it on her toy castle.,1,The fish will have lots of water,The fish would get thirsty,0,0,1,"Yes, but not for building a toy castle. It should be used for drinking only.",,There would be a good number of rocks left on the path.,There wouldn't be any rocks left at all on the path,Take rocks from the path.,0,0,1,There are no laws saying you can't take rocks from a path.,,34,1,5,2,3,Nope
219,7/2/19 11:39,R_NXgy9gNi3QJ5zVv,There would still be plenty of water for the fish.,There would be no water left in the lake and the fish would die.,Pour a bucket of water over her castle.,0,0,1,"Because one bucket of water removed won't do any harm to the lake or fish. No one else wants to do it, so there's no danger of too much water being removed.",,Take a rock from the path for his rock collection,1,The path would still be in tact,There would not be enough rocks to make up a path,0,0,0,,"Because the other kids might seem him doing it, and then they might be prompted to take rocks, too, which would destroy the path",,,,,,,,,,,,,,,,,,41,2,5,2,2,no
165,7/2/19 11:42,R_2TGIpXWHjz9Gy5L,there's still plenty of water,there would be no water for the fish,take water,0,0,0,,it will hurt the fish,He wants to put a rock in his rock collection.,1,There would still be rocks,There would be no more rocks left ,0,0,1,It's just a rock,,,,,,,,,,,,,,,,,,,29,2,5,2,3,
163,7/2/19 11:44,R_3ql86kHwXpUKJ45,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish.,Take water from the lake,0,0,0,,None of the other kids will do it.,e would love to take one of the rocks from the path and put it in his rock collection,1,there would still be plenty of rocks left on the path,here would be no more rocks left on the path. ,0,0,0,,None of the other kids did it.,,,,,,,,,,,,,,,,,,25,1,5,2,3,
322,7/2/19 11:44,R_1Dr2PSdcKkbxEBi,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake,1,plenty of water left for the fish,no water left for the fish,0,0,1,noone sees it. It's ok for one time.,,there would be plenty of rocks left.,no more rocks would be left,take one rock for his collection.,0,0,0,,"it like stealing. Someone made this path with rocks, and when you take one, it's stealing.",73,1,5,2,2,no
870,7/2/19 11:46,R_6EDsZttXq5EJO4F,There will still be plenty of water left for the fish.,Then there would be no more water in the lake for the fish,They never take water from the lake because they don't want the water on their castles.,1,0,1,No one try it,,Jacob take the rocks from the path and put them in their rock collections.,0,There would still be plenty of rocks left on the path.,Then there would be no more rocks left on the path,0,0,0,,"In their path many children walk them so, the children's try the rock it's dangerous",,,,,,,,,,,,,,,,,,48,1,3,1,4,It is really very interesting
231,7/2/19 11:54,R_2QEx4vO54oNktTK,There would still be enough water for the fish,There will be no water left in the lake,Mary wants to take water from the lake,0,0,1,"Because, realistically, she's not really harming the fish or the lake by taking water.",,Jacob wants to take one of the rocks from the path and add it to his rock collection,1,There would still be plenty of rocks left,There would be no more rocks on the path,0,0,1,"There would still be plenty of rocks left, and the others have already committed  to not getting any rocks",,,,,,,,,,,,,,,,,,,29,1,3,2,2,no
328,7/2/19 12:00,R_RFaGIZevPYQY9l7,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle,1,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish,0,0,0,,"Just because someone won't see you do something detrimental to others, doesn't make it ok. And if everyone adopts that philosophy, the lake would run out of water.",there would still be plenty of rocks left on the path,there would be no more rocks left on the path,take a rock from the path for his collection,0,0,1,"As long as it's only one and he isn't greedy. And we know for a fact, there will NEVER be any other kids that want to take rocks. In the case, I'd say it's a victim-less crime. But this is operating under extreme circumstances. I really think the answer should be no, but given the hypothetical...",,29,1,,2,3,"Not really, just depends how logical one wants to be with the examples"
260,7/2/19 12:00,R_29ppTBvO2eSKTWH,,,,,,,,,,,,,,,,,,Fill her bucket from the lake and pour it on her toy castle.,0,There would still be plenty of water left in the lake for fish.,There would be no more water left in the lake for fish.,0,0,1,Because one bucket of water will not hurt anything. ,,There would still be plenty of rocks left on the path.,There would be no more rocks left on the path. ,He wants to take a rock for his collection. ,0,0,1,It's a rock and most people do not want to take rocks off the path. A rock is not something I would consider as theft. ,,44,2,5,2,3,no
215,7/2/19 12:02,R_27J62yJGk50gC3S,There will still be water left for the fish,There won't be any water left for the fish,Take a bucket of water from the lake and pour it on her toy castle,0,0,1,It wouldn't hurt the fish since she's the only one doing it. There will be plenty of water left.,,Take a rock from the path for his collection,1,There would be plenty of rocks left on the path,There wouldn't be any rocks left on the path,0,0,0,,"The rocks won't be replaced, and if other people try to sneakily take rocks too, eventually there won't be any rocks left for the path. It's best to leave them there so everyone can enjoy the path.",,,,,,,,,,,,,,,,,,26,2,5,2,3,No
295,7/2/19 12:08,R_3qwVcxPDeEdroO5,,,,,,,,,,,,,,,,,,fill a bucket with water from the lake and pour it on her toy castle.,1,there will still be plenty of water left for the fish,There would be no more water in the lake for the fish.,0,0,1,It won't affect this fish and nobody will know.,,there would still be plenty of rocks left on the path.,There would be no more rocks left on the path.,take rocks from the path ,0,0,1,it won't affect anything and nobody else wants to do it.,,39,2,2,2,3,no
373,7/2/19 12:09,R_0etoayvny9wIGSB,,,,,,,,,,,,,,,,,,pour water on her castle,1,nothing,nothing,0,0,1,because it's not much water,,Not much change.,The rock path would disappear,Take rocks home,0,0,1,because it is just one rock,,57,2,5,2,3,no
195,7/2/19 12:13,R_wY3ApQFQvKmTlqp,there will still be plenty of water left for the fish,there would be no more water in the lake for the fish.,take water from the lake and put it on her castle,0,0,1,No one would notice and there will be plenty of water left.,,He would love to take one of the rocks from the path and put it in his rock collection.,1,there would still be plenty of rocks left on the path,then there would be no more rocks left on the path. ,0,0,1,No one would see him and there would be rocks left.,,,,,,,,,,,,,,,,,,,35,2,3,2,4,No
220,7/2/19 12:17,R_u4ZZmcu788en1fj,there would still be plenty of water left,there would be no water left in the lake for anyone or the fish.,wants to take water from the lake to pour on her castle,0,0,0,,because it would negatively impact the fishes enviroment.,he wants to take a rock from the path to add to his rock collection.,1,there would still be rocks left on the path,there would be no rocks left,0,0,0,,"because there would be one less rock on the path, and his friends had already come to an agreement. ",,,,,,,,,,,,,,,,,,26,1,5,2,2,no
180,7/2/19 12:33,R_2DMjfN9HBiFUPXj,,,,,,,,,,,,,,,,,,Fill a bucket with water and pour it on her castle,1,There will be enough water for the fish,There wouldnt be anymore water for the fish,0,0,0,,"If other kids think the same as her when they're at the water early, then there won't be anymore water for the fish.",There would still be plenty of rocks,There wouldn't be anymore rocks,Take a rock,0,0,1,He's the only one and he just wants it for his collection.,,29,2,5,2,2,
